{massXs[i]} {massYs[i]} {best_scores[i]} {best_sig2bkgs[i]} {best_sigEffs[i]} {best_bkgEffs[i]} {best_QCDEffs[i]} {best_TTBar_Effs[i]}
2000 400 0.96 4238.0500706555495 0.5407582848053313 0.0 nan 0.0
400 150 -1.0 0.0 nan nan nan nan
2500 300 0.98 21468.92122603869 0.43361337407388467 0.0 nan 0.0
3000 2000 -1.0 0.0 nan nan nan nan
700 90 0.7 2.749973660162906 1.0 0.0 nan 0.0
2500 100 0.95 30512.078192561174 0.5993261915351977 0.0017079465074394372 nan 0.0017079465074394372
1400 300 0.97 588.4549443933016 0.36608385836764273 0.0014944487051324685 nan 0.0014944487051324685
1400 60 0.96 9501.304035458801 0.5893341669440375 0.0024334517178615446 nan 0.0024334517178615446
4000 1400 -1.0 0.0 nan nan nan nan
550 100 -1.0 0.0 nan 1.0 nan 1.0
3000 500 -0.39 23761.607257562173 0.9127801529445683 0.0 nan 0.0
800 100 0.7 6.2160518786018315 0.673959734627639 0.0 nan 0.0
300 90 -1.0 0.0 nan nan nan nan
800 95 0.7 7.698027037874567 0.41556435527258767 0.0 nan 0.0
800 150 0.8700000000000001 5.048110641841238 0.6656201149920745 0.0 nan 0.0
3000 70 0.77 39251.198874953465 0.9017582608484354 0.015291676031425623 nan 0.015291676031425623
